Product Name,OTTO.de URL,Ebay URL,G7 Price
Apple Watch Ultra 2,https://www.otto.de/p/apple-watch-ultra-2-titanium-smartwatch-4-9-cm-1-92-zoll-watch-os-10-alpine-loop-1786967173/#variationId=1786970523,https://www.ebay.de/itm/395955497804?_skw=Apple+Watch+Ultra+2%5C&epid=20062775595&itmmeta=01JH1KA9EPRQ7SN0KKEQ02JTCT&hash=item5c30c96b4c:g:mbkAAOSwyVFnS0Ji&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnGT6wgnIT1sBeeme1b%2BKc%2FzYVHufgfMR7O9AzXRYrRrI7Lj8A%2BsjWALs9J3Uct5s%2BBhdZfqrK88FWhqzxpCNfMFXErPXYuiYoAVE%2ByO%2BimhkAkySq99q7GCdD9RlUQ%2FS0Dq66SLWZDJxp7f4wM80XzF0cYEZfWOL5eQip2q6%2Bo0iek72i4gFCcWu51hH3Axt%2By0MyaA9hKYHRlMZ3JXUySeH7m51yKrQ23X2Spi9TxLNar2cB4m%2F2tuKQMvRTP7cQ%3D%7Ctkp%3ABlBMUMCXqbOIZQ,839.99
Apple Watch Ultra,https://www.otto.de/p/apple-watch-ultra-2-titanium-smartwatch-4-9-cm-1-92-zoll-watch-os-10-alpine-loop-1786967173/#variationId=1786966919,https://www.ebay.de/itm/204597087877?_skw=apple+watch+ultera&epid=27056266059&itmmeta=01JH1KC19FPHAASZVCRNS89WPS&hash=item2fa2efce85:g:qpQAAOSwb39ljut~&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnTI2kjkK4qwcZfREiPe7xccreHrl5NbkilzfDSZJStc%2Fo%2BJN4C1N9DriCO%2FH8y%2Fazi02Uj55SlyPiwK4ei6ABbv6mNO085gU37P3nFDl3DA%2FmmbAXE7XMCCT6RDRS%2BbHum%2BWGeyudn6LbEOHZHsNSFUQaQyPGLhLhxYCFVKDpM7zU4o9MtMKYfV1xpfaeNfpiJWe2QKxPDH4yNWgG8UfLHcvJrf%2ByatTep0fFIZuNqncBgn1AvY85quj4W5mVfTvM3WtawzhsMoA4Qv4tF7s79mnbxc0sa%2FwCa7qvDtlcrvg%3D%3D%7Ctkp%3ABFBM1pWws4hl,689.99
Garmin Epix™ Pro Gen 2,https://www.otto.de/p/garmin-epix-pro-gen-2-51mm-smartwatch-3-556-cm-1-4-zoll-C1754708096/#variationId=S06C60L2IWOU,https://www.ebay.de/itm/126869567511?_skw=Garmin+Epix%E2%84%A2+Pro+Gen+2&itmmeta=01JH1KDW3A0HXFYDJ1YNRNJ6H5&hash=item1d8a03f817:g:ZRwAAOSwuZVne99f&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKn1SSQ1Kixo%2FI5hzjyNomp94S5WK4WsiAp1IT%2FLfFUPFTU22EAvFeXCvL8QhMx5bAQcMRpx3A%2BlMfsixunUp8u2V0ge1%2BaIjAPU4--5tN0KzQgPzxFSI7ZReMY76iPO1wh4R72GI1x9WnuBsAa2I93lC8KpuZ17lmPhCjhAV8qZCMkVP7ucNlDsduGoQydstPMB1AHYP8Elh3tNQDED9BQb0oSvOLyVoe0Ut41aXLRun621vjTAYckYzxdQB%2BrNvagtPYOk9LcQckGedzE1WStWlwF0xIRV3EAAcIxSbnP%2B0A%3D%3D%7Ctkp%3ABk9SR-jBt7OIZQ,699.99
Garmin Venu 3S,https://www.otto.de/p/garmin-venu-3-smartwatch-3-6-cm-1-4-zoll-C1787612011/#variationId=1787612012,https://www.ebay.de/itm/176773383543?_skw=Garmin+Venu+3S&itmmeta=01JH1KGRFGK19HJXMDA04J9RKG&hash=item292883c577:g:J8EAAOSwr7Nnel3k&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKlNceS1dSv6qkW%2FIkWi7IRUiYANPThqZ2aU%2FmLAMWmTgU9Gd9UQgYF3k4QY0qviFjNvOoyf%2Fc%2FT7YECFrzs%2BCJL26pTM3Lkogk%2Bmkf67Kg3Fq8MMjzx%2FzcCFyLUjA7HASgLQAb6%2B6IMtprnMWrq%2FaGfOUEMeL9l25Jp%2BNKhKn6F6Wt%2B2MrzUdLd4yC0LQLz5mPEBkjGag%2B9UkWrkJlkklmpY1INWl5lB%2FvQf4bux%2B9lbRvs2Q2gCh%2FJYC8k5KXkovdPcsAA2D2WFZjynRv1Zfe5Vt5S0lS7L5BP8QWvkkHFZA%3D%3D%7Ctkp%3ABFBM-ofDs4hl,389.99
Garmin Venu 3,https://www.otto.de/p/garmin-venu-3s-smartwatch-3-cm-1-2-zoll-C1787612028/#variationId=1787612061,https://www.ebay.de/itm/405443443930?_skw=Garmin+Venu+3&itmmeta=01JH1KHTB9KV2X427CHT77TFNX&hash=item5e664ffcda:g:jKsAAOSw7xRnbndL&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKk%2FDib9wmPM1GCLnfhbYG9%2FGLd%2BI6W%2F2lA%2F3neSn92TLYHUmVsIFOrjZgO4BH4iut%2B8kY0fnrG8ZUXKI7WEkczn2OwWWdpffZP0BHbhgqqc4kdEI4xZdjYD%2F5eblCtmwiWQK7OOgtonpxxczm62yhS5Gv8xDzIUqEBsgX8SbVY8dVwYr8X--cRS32SqLpzV6FIP4WbgTrGa0%2BIr9q8HT61Oa3%2BIcn3PhxCCPreOpkA3Go3XIPGiWh%2BS%2BPe24ZIs0RzJR5HYHXzPO8wawm2wr7AK%2FkoBT%2F8VEuWABlj%2Fcj6bww%3D%3D%7Ctkp%3ABFBMpKbHs4hl,409.99
Garmin fēnix® 7X Pro,https://www.otto.de/p/garmin-fenix-7x-solar-smartwatch-3-55-cm-1-4-zoll-garmin-C1579941505/#variationId=S0X2U0L151WE,https://www.ebay.de/itm/116431886448?_skw=Garmin+f%C4%93nix%C2%AE+7X+Pro&epid=18062470164&itmmeta=01JH1KJMXHYS7TDKNYNVNJ78MC&hash=item1b1be19870:g:PGsAAOSwDh9nca2P&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnxggIjoS36PxAmK3b%2B4pdJOYf5pVaGiZSSW8RVEZQ5pauLB7Pzjs4bYWXNlOnldrZepXCIzKu8PpLrar47FprGuDYIpDj6fq7zBqm6Sjk8hcOsNdWWLzsD10Hkmcuo8wNkhsXKaOzxHwgqUtkTTQfLWLzRp4vXzuxQosFnxuX9uO0OzCUO7kdzFVydr7h3wgT1qR8eh7Rt7Iy4GNaVqGd4IhV%2FnHXmydCIkJnXwOFLK9a2fDp%2FUSRp2a2bze77Jz4%3D%7Ctkp%3ABk9SR5rPyrOIZQ,699.99
Garmin fēnix® 7 Pro,https://www.otto.de/p/garmin-fenix-7-pro-solar-51-47mm-smartwatch-outdoor-camping-sport-smartwatch-3-3-cm-solar-sportband-fitnesstracker-wasserdicht-C1754708069/#variationId=S0WC60UC138R,https://www.ebay.de/itm/235896230139?_skw=Garmin+f%C4%93nix%C2%AE+7+Pro&itmmeta=01JH1KRFBEX55ESTT4PDVANX4Y&hash=item36ec82d0fb:g:g6wAAOSwLUZndjnV&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKm9iilHc3GwcQoaOH9Q9bNPYIFaNvkR7WosOWP36ht4kLVvnkUAps91hQI%2B9nVeXPSwnZ%2FCHi5C%2BSbyykbBZSg3qQBVYfBfMMR%2F7cW5V1rgU9l9Ofb3F7v2rv%2BFVKqGzXBWVoqe9K92Q7aUNHSna1tgpGlTiMNQh7bzTWXz1zSRNma2WtPUsOU7RYPzfxRBPvO1hgwmLH2WFZSa1rq4uuwd%2BcQpE%2F21QQoaAnKvcK7L87tgQYDZnTdck6yRfMonDKTVGRk%2F69a%2F%2B9Ozhm1Bj7USmR0ykDmCOygletKdaOv1rg%3D%3D%7Ctkp%3ABk9SR_L14bOIZQ,619.99
Garmin Forerunner 965,https://www.otto.de/p/garmin-forerunner-965-sportuhr-gps-bluetooth-triathlon-smartwatch-3-54-cm-1-4-zoll-fitness-gesundheit-karten-musiksteuerung-CS079J0IO/#variationId=S0W8B0WTH5MR,https://www.ebay.de/itm/335756839902?_skw=Garmin+Forerunner+965&epid=18060107515&itmmeta=01JH1KSQCQVYKJAH7MH8135WEF&hash=item4e2caacbde:g:i1cAAOSwQfhneQKj&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKlZvt5Xg6Amaa5eEp%2FJGT6K5IpnKqhm4pr5zxqddxbdOD23%2FmElQa9zEmz0b8%2BMJwUg5rXeMD0IeDQMM7asipvllz5Maw4ddmcH8uT0QGBf%2FbMAWwLCdPGq%2FzBHgp720w6bRcLN4AkRrHIhWczinw%2FEDzHuqi6TiP%2FGr4ANN7Rd7c9OLh7dlJkEU8Jk24IoT8o7a584fck9H2T%2FPfEJggdTqnYdCvdHhRJKOVgmDfr8CNdM8%2FBtDwAoaPr%2BvsQWPPwUMiLsEkNh%2FLjTkrmBDZBAsDr6vxMiEqnb7eR9wYsjaA%3D%3D%7Ctkp%3ABk9SR8b25rOIZQ,559.99
Garmin Forerunner 255,https://www.otto.de/p/garmin-forerunner-255-basic-smartwatch-3-3-cm-1-3-zoll-proprietaer-C1737516023/#variationId=1848975554,https://www.ebay.de/itm/396090545459?_skw=garmin+forerunner+255&epid=27054809386&itmmeta=01JH1KV19YGSEES6QWEED97R1Z&hash=item5c38d61533:g:B1AAAOSwKtJneZKP&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKl3RU%2B7UMyM7StW7Wftx6Yl4T2V0RaHPGu%2BiNgcmSqKgYds%2FeDGOsyvV2vEu%2FOy2yWUX5J3Yc3hAiXUIAw%2F1nYw%2B8hv9xN96usc%2Fke3E62AaCZaQtSX065ucosOYMgnwnZlUqIIMsKVll48pKZPl%2BjWDqF25tvF5QqzPma2W%2FC9ixL4VZFVkY%2BbLZUPCXFSamyBh6PpK5gpqGjeAWhevrrmA9XhWANRq%2FdDg3zx4jNNZDLySrJ9kAqBFPnYs6IEHskPJuVsnBD6qxn6nFg%2BlNJ4GBHfNuyZCEvkKL2UgkGkLw%3D%3D%7Ctkp%3ABk9SR5iV7LOIZQ,239.99
Withings ScanWatch 2,https://www.otto.de/p/withings-scanwatch-light-smartwatch-1-6-cm-0-63-zoll-C1793648299/#variationId=1793648308,https://www.ebay.de/itm/267104675871?_skw=Withings+ScanWatch+2&itmmeta=01JH1KVXESAVF1KD68XDG9XAT4&hash=item3e30ade81f:g:vgwAAOSwV71naYdh&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnSNTNhcdTZoaZdoHt8CnXi1VKe7Bvdip5u%2Fqfzi77X3%2FGX2GBOgxS6Xxx17BSbnYheZsaRbwKCwTiuPaIGgCZENJPTUEKqmFei9Jt3gVpV3A6Meyj1c8Lvd7VhKm1RdX1iEA7jLhKyiRN%2FkRnhXDrIJfgGAv%2Fyk0xhRyJtv6VAhWwRnDkSOOYgKecvgm78bJIL7bCLO4%2FzLQsMs4PYXRp5li6a5Cl9FtQJe81bbIrRg97MjZcR950C66DFL7w1Z2eAOcmHANuRbp9Dyb3wN9AR4rGtiQxBDqYTsOv0NFBVbg%3D%3D%7Ctkp%3ABFBMytfvs4hl,129.99
